----- BEGIN /raw_seg_silence_15s_10798.csv (430635 bytes) -----
#BEGIN {"ver":4,"type":"segment","mode":"silence","key":"-","rep":0,"fs_hz":48000,"hop":256,"n_fft":1024,"fmin":50.0,"fmax":3500.0,"pre_ms":60,"lead_ms":150,"post_ms":400,"stored_pre_ms":210,"ms_per_frame":5.33333,"t_ms":10798}
ms_from_event,rms,flux,centroid_hz,spread_hz,rolloff85_hz,flatness,zcr,band0,band1,band2,band3,band4,band5,peak_hz,peak_mag,peak_ratio,low_dom
635,0.000077,0.160870,1161.64,1049.86,2578.12,0.553721,0.200000,-1.453294,-0.054698,1.161523,-0.419300,0.087732,0.678034,375.00,0.046194,13.6206,0.2429
640,0.000083,0.194299,1147.38,1030.59,2625.00,0.586924,0.235294,-1.353446,-0.357936,1.157340,-0.068033,0.074406,0.547668,375.00,0.042203,13.0559,0.2374
645,0.000085,0.339319,1222.19,1083.90,2765.62,0.650729,0.145098,-1.192207,0.047149,0.852535,-0.045032,-0.135861,0.473418,375.00,0.034131,8.8430,0.3227
651,0.000077,0.234581,1070.18,1016.18,2531.25,0.624407,0.211765,-1.009928,0.105139,0.902595,-0.119077,-0.101003,0.222272,375.00,0.037040,8.5084,0.3745
656,0.000093,0.089110,1135.00,1026.44,2531.25,0.625218,0.141176,-0.960001,-0.231029,0.979234,-0.345816,0.115139,0.442473,375.00,0.040666,12.0398,0.2944
661,0.000104,0.232573,1072.78,1004.13,2484.38,0.588909,0.152941,-1.446216,0.015532,1.152938,-0.110331,-0.048476,0.436552,328.12,0.046292,12.0092,0.2871
667,0.000066,0.291712,1146.75,1069.29,2625.00,0.602541,0.274510,-1.620282,0.443932,1.067291,-0.304641,-0.113626,0.527326,328.12,0.053181,12.2790,0.3111
672,0.000071,0.159192,1079.09,1036.61,2531.25,0.579379,0.266667,-1.178393,0.402395,0.915772,-0.299165,-0.203406,0.362797,328.12,0.038463,9.4291,0.3852
677,0.000066,0.244699,1263.84,1061.84,2671.88,0.700379,0.286275,-1.329327,-0.318994,0.766178,0.262433,0.005436,0.614274,375.00,0.031539,9.3856,0.2434
683,0.000069,0.168799,1234.51,1090.53,2812.50,0.639509,0.192157,-1.247447,-0.485138,0.921020,0.206887,0.043206,0.561474,375.00,0.030152,9.4369,0.2371
688,0.000084,0.173235,1333.44,1102.07,2859.38,0.655737,0.211765,-1.981942,-0.580868,1.099645,0.136490,0.464551,0.862123,375.00,0.031478,10.7138,0.1251
693,0.000076,0.245662,1140.28,1086.43,2765.62,0.571713,0.184314,-1.364319,0.044601,1.037802,-0.147158,-0.027421,0.456496,328.12,0.036911,10.7951,0.2943
699,0.000075,0.159343,1131.60,1105.76,2718.75,0.565855,0.215686,-0.866171,-0.082769,0.967474,-0.136614,-0.326104,0.444184,375.00,0.040769,12.1369,0.3697
704,0.000069,0.159993,1166.86,1072.77,2671.88,0.606830,0.243137,-1.100533,-0.156568,1.040002,-0.211438,-0.138273,0.566810,375.00,0.041845,12.8283,0.3009
709,0.000087,0.163361,1280.22,1102.76,2812.50,0.632241,0.109804,-1.177068,-0.268742,0.964317,-0.311999,0.118315,0.675177,375.00,0.040020,12.4003,0.2461
715,0.000078,0.199164,1219.30,1084.35,2718.75,0.617649,0.227451,-1.020329,-0.051371,0.960126,-0.530051,0.050260,0.591366,375.00,0.041964,12.2238,0.2980
720,0.000091,0.210670,1204.19,1074.75,2718.75,0.595909,0.180392,-1.100532,-0.419010,0.951234,-0.064158,0.056699,0.575767,375.00,0.045022,12.1175,0.2543
725,0.000075,0.279200,1186.36,1108.35,2812.50,0.623168,0.172549,-1.089568,0.004140,0.905569,-0.159180,-0.137985,0.477023,328.12,0.042312,10.6823,0.3291
731,0.000079,0.151105,1147.60,1120.94,2812.50,0.577343,0.223529,-1.004893,0.142379,1.001866,-0.314720,-0.302913,0.478282,328.12,0.040635,10.2882,0.3731
736,0.000090,0.104115,1155.54,1111.93,2812.50,0.603989,0.219608,-0.774344,0.190108,0.893992,-0.550425,-0.236225,0.476893,375.00,0.035807,10.3504,0.3983
741,0.000077,0.286826,1221.51,1101.05,2812.50,0.609266,0.207843,-1.484148,0.080571,0.976253,-0.279877,0.119576,0.587625,328.12,0.045264,12.1442,0.2582
747,0.000080,0.168602,1315.86,1127.19,2953.12,0.627935,0.137255,-2.148814,-0.255265,1.154901,0.032183,0.376748,0.840249,328.12,0.045959,11.9408,0.1406
