freq_hz,pre_db,post_db,delta_db
2988.281250,-41.056389,-20.734192,20.322197
3000.000000,-42.006187,-31.163696,10.842491
3011.718750,-41.217316,-19.744640,21.472675
3023.437500,-39.392506,-18.014847,21.377659
3035.156250,-49.667809,-22.130531,27.537277
3046.875000,-49.291271,-27.722771,21.568501
3058.593750,-42.815781,-25.941978,16.873802
3070.312500,-35.112305,-35.545486,-0.433182
3082.031250,-34.887016,-24.139328,10.747688
3093.750000,-38.130489,-20.465128,17.665361
3105.468750,-41.945580,-22.662821,19.282759
3117.187500,-43.536392,-24.506554,19.029839
3128.906250,-44.235611,-13.844261,30.391350
3140.625000,-44.292526,-20.494156,23.798370
3152.343750,-52.809021,-20.902775,31.906246
3164.062500,-46.414982,-26.248852,20.166130
3175.781250,-49.631519,-19.357822,30.273697
3187.500000,-46.865585,-17.720322,29.145264
3199.218750,-46.393112,-18.929613,27.463499
3210.937500,-42.080284,-13.876172,28.204113
3222.656250,-50.149212,-15.838434,34.310776
3234.375000,-44.903625,-32.138409,12.765217
3246.093750,-54.823349,-32.323704,22.499645
3257.812500,-40.758095,-21.744431,19.013664
3269.531250,-41.228195,-17.671879,23.556316
3281.250000,-38.127827,-21.347521,16.780306
3292.968750,-43.107964,-14.888377,28.219585
3304.687500,-47.149376,-12.204342,34.945034
3316.406250,-48.041264,-18.804667,29.236597
3328.125000,-42.947193,-27.133518,15.813675
3339.843750,-45.161358,-16.038033,29.123325
3351.562500,-48.532528,-13.814477,34.718052
3363.281250,-45.440598,-20.954611,24.485987
3375.000000,-53.587303,-28.081497,25.505806
3386.718750,-49.113876,-25.951973,23.161903
3398.437500,-46.933907,-28.482193,18.451714
3410.156250,-49.733154,-35.944752,13.788403
3421.875000,-47.962051,-37.903889,10.058163
3433.593750,-47.835270,-30.538746,17.296524
3445.312500,-55.350552,-42.137951,13.212601
3457.031250,-51.881104,-29.842413,22.038691
3468.750000,-72.670731,-19.180817,53.489914
3480.468750,-64.536545,-13.259562,51.276981
3492.187500,-42.792061,-11.600258,31.191803
3503.906250,-43.502464,-13.420711,30.081753
3515.625000,-39.194042,-18.923042,20.271000
3527.343750,-42.196686,-26.635578,15.561108
3539.062500,-62.072525,-30.791893,31.280632
3550.781250,-44.109913,-23.293245,20.816668
3562.500000,-41.889961,-22.586849,19.303112
3574.218750,-43.339890,-30.091606,13.248283
3585.937500,-38.135605,-35.930634,2.204971
3597.656250,-40.809036,-30.748440,10.060596
3609.375000,-38.184372,-21.648657,16.535715
3621.093750,-37.132248,-16.965015,20.167233
3632.812500,-37.813114,-13.710800,24.102314
3644.531250,-44.038425,-15.064142,28.974283
3656.250000,-38.791187,-21.341721,17.449467
3667.968750,-39.621357,-32.732395,6.888962
3679.687500,-41.350273,-37.171349,4.178925
3691.406250,-45.290344,-30.206299,15.084045
3703.125000,-48.451290,-24.505638,23.945652
3714.843750,-49.907776,-24.044792,25.862984
3726.562500,-40.197998,-20.279129,19.918869
3738.281250,-39.874416,-17.311676,22.562740
3750.000000,-46.821728,-30.715199,16.106529
3761.718750,-50.098961,-28.228348,21.870613
3773.437500,-51.762192,-21.201149,30.561043
3785.156250,-60.491287,-17.153286,43.338001
3796.875000,-44.243259,-21.742214,22.501045
3808.593750,-42.552788,-29.010017,13.542770
3820.312500,-41.573082,-29.257317,12.315765
3832.031250,-45.824104,-33.687508,12.136597
3843.750000,-50.718342,-28.998556,21.719786
3855.468750,-53.919380,-30.066946,23.852434
3867.187500,-46.561722,-29.122272,17.439449
3878.906250,-44.823517,-21.979099,22.844418
3890.625000,-42.475643,-23.582993,18.892651
3902.343750,-38.572353,-19.329407,19.242947
3914.062500,-39.335762,-20.658609,18.677153
3925.781250,-49.473557,-33.257252,16.216305
3937.500000,-47.499664,-32.205212,15.294453
3949.218750,-44.986797,-39.873642,5.113155
3960.937500,-45.465206,-34.110207,11.355000
3972.656250,-43.528206,-27.686081,15.842125
3984.375000,-43.829578,-21.227591,22.601988
3996.093750,-40.091267,-19.820015,20.271252
4007.812500,-42.130032,-21.425512,20.704519
4019.531250,-39.329514,-23.355831,15.973682
4031.250000,-41.486336,-27.789711,13.696625
4042.968750,-46.329922,-44.278240,2.051682
4054.687500,-37.748661,-40.363190,-2.614529
4066.406250,-39.024574,-34.290695,4.733879
4078.125000,-42.570786,-40.475426,2.095360
4089.843750,-45.103119,-32.987808,12.115311
4101.562500,-42.691551,-41.657433,1.034119
4113.281250,-43.960846,-29.039227,14.921619
4125.000000,-46.855095,-22.269938,24.585157
4136.718750,-43.828972,-23.078566,20.750406
4148.437500,-41.144257,-34.776169,6.368088
4160.156250,-40.091167,-34.237827,5.853340
4171.875000,-43.735580,-38.037682,5.697899
4183.593750,-56.886868,-31.033686,25.853182
4195.312500,-41.851913,-33.396072,8.455841
4207.031250,-40.940422,-37.132362,3.808060
4218.750000,-46.372684,-36.341457,10.031227
4230.468750,-45.070744,-35.740162,9.330582
4242.187500,-39.567062,-43.452721,-3.885658
4253.906250,-47.049446,-47.728020,-0.678574
4265.625000,-54.900631,-33.502964,21.397667
4277.343750,-48.233917,-31.113712,17.120205
4289.062500,-40.285522,-34.040695,6.244827
4300.781250,-35.086189,-34.443920,0.642269
4312.500000,-35.356056,-30.445393,4.910664
4324.218750,-38.474209,-32.853897,5.620312
4335.937500,-37.784771,-36.869690,0.915081
4347.656250,-38.106766,-38.426945,-0.320179
4359.375000,-39.839554,-55.370483,-15.530930
4371.093750,-42.903297,-31.774853,11.128445
4382.812500,-39.896122,-33.855816,6.040306
4394.531250,-45.990662,-31.404137,14.586525
4406.250000,-40.810276,-25.390654,15.419622
4417.968750,-41.714119,-30.109600,11.604519
4429.687500,-56.097866,-38.776215,17.321651
4441.406250,-49.432198,-26.071999,23.360199
4453.125000,-48.379166,-23.363161,25.016005
4464.843750,-49.107056,-34.512638,14.594418
4476.562500,-45.257092,-43.075985,2.181107
4488.281250,-57.530708,-31.854828,25.675880
4500.000000,-50.895180,-32.367710,18.527470
4511.718750,-45.108200,-37.984596,7.123604
4523.437500,-44.349464,-35.984035,8.365429
4535.156250,-48.110817,-31.937843,16.172974
4546.875000,-44.692940,-31.113132,13.579807
4558.593750,-55.140514,-34.823792,20.316723
4570.312500,-46.744137,-41.772446,4.971691
4582.031250,-43.233307,-35.241550,7.991756
