label,mode,folder,fs,pre_ms,lead_ms,post_ms,peak,clip,rms_pre,rms_post,snr_proxy_db,onset_sample,onset_ms_est,onset_minus_enter_ms,flags,moved_to
a0,stress,a0\rep007_20251219-231459,48000,300,0,400,0.116729736328125,0,0.00867379829287529,0.02929737977683544,10.57238854050125,16560,345.0,45.0,,
a0,stress,a0\rep008_20251219-231507,48000,300,0,400,0.11846923828125,0,0.006850598845630884,0.02909952402114868,12.563145996231144,16320,340.0,40.0,,
a0,stress,a0\rep009_20251219-231515,48000,300,0,400,0.111663818359375,0,0.0073994724079966545,0.024795154109597206,10.503320313197255,17280,360.0,60.0,,
a1,stress,a1\rep001_20251219-232138,48000,300,0,400,0.097991943359375,0,0.0025828788056969643,0.02050619013607502,17.995616086383663,16080,335.0,35.0,,
a1,stress,a1\rep002_20251219-232142,48000,300,0,400,0.13427734375,0,0.0024012643843889236,0.030658802017569542,22.122300695881716,15600,325.0,25.0,,
a1,stress,a1\rep003_20251219-232145,48000,300,0,400,0.106842041015625,0,0.0026860914658755064,0.02298140712082386,18.645113532376175,16320,340.0,40.0,,
a1,stress,a1\rep004_20251219-232148,48000,300,0,400,0.112396240234375,0,0.0026745188515633345,0.026393771171569824,19.88511275611358,15360,320.0,20.0,,
a2,stress,a2\rep001_20251219-234404,48000,300,0,400,0.11810302734375,0,0.008341939188539982,0.026461515575647354,10.026953188486122,16080,335.0,35.0,,
a2,stress,a2\rep002_20251219-234407,48000,300,0,400,0.12091064453125,0,0.004641478415578604,0.025675881654024124,14.857379068425157,15120,315.0,15.0,,
a2,stress,a2\rep003_20251219-234410,48000,300,0,400,0.1134033203125,0,0.006467925850301981,0.024826057255268097,11.682853411605535,15120,315.0,15.0,,
a2,stress,a2\rep004_20251219-234414,48000,300,0,400,0.12213134765625,0,0.0044405399821698666,0.02788599394261837,15.959005234170089,15360,320.0,20.0,,
a2,stress,a2\rep005_20251219-234418,48000,300,0,400,0.072601318359375,0,0.004275357350707054,0.019912919029593468,13.363248549269976,15840,330.0,30.0,,
a3,stress,a3\rep001_20251219-234837,48000,300,0,400,0.1312255859375,0,0.0015654428862035275,0.03666098788380623,27.39133341020064,15120,315.0,15.0,,
